Time,country,eventName,beforeValue,nowValue,expectValue
2000-12-01 17:00,USD,贸易收支 ,-32.60B,-1,-33.20B
2000-12-01 17:00,CAD,营建许可 ,0.40%,-1,-5.60%
2000-12-01 17:00,CAD,核心消费价格指数,1.50%,-1,1.30%
2000-12-01 17:00,CAD,核心消费价格指数,0.10%,-1,0.10%
2000-12-01 17:00,CAD,核心零售销售 ,0.40%,-1,0.50%
2000-12-01 17:00,CAD,居民消费价格指数,0.30%,-1,0.20%
2000-12-01 17:00,CAD,就业人口变化 ,36.10K,-1,23.10K
2000-12-01 17:00,CAD,外资证券购买 ,-1.07B,-1,13.09B
2000-12-01 17:00,CAD,国内生产总值,0.10%,-1,0.20%
2000-12-01 17:00,CAD,新屋开工 ,156.90K,-1,165.90K
2000-12-01 17:00,CAD,利率决议 ,5.75%,-1,5.75%
2000-12-01 17:00,CAD,制造业销售额 ,-0.60%,-1,3.20%
2000-12-01 17:00,CAD,新屋价格指数 ,0.40%,-1,0.10%
2000-12-01 17:00,CAD,零售销售 ,0.20%,-1,-0.70%
2000-12-01 17:00,CAD,原材料价格指数 ,2.10%,-1,0.60%
2000-12-01 17:00,CAD,贸易收支 ,5.91B,-1,6.33B
2000-12-01 17:00,CAD,失业率 ,6.90%,-1,7.00%
2000-12-01 17:00,CAD,批发销售额 ,-0.80%,-1,1.10%
2000-12-01 17:00,EUR,德国商业期望 ,101.9,-1,102.3
2000-12-01 17:00,EUR,德国居民消费价格指数,0.10%,-1,-0.10%
2000-12-01 17:00,EUR,德国当前评估 ,106,-1,106.2
2000-12-01 17:00,EUR,德国工厂订单 ,0.30%,-1,0.20%
2000-12-01 17:00,EUR,德国工业生产指数 ,0.60%,-1,-0.60%
2000-12-01 17:00,EUR,德国生产者物价指数,0.40%,-1,0.40%
2000-12-01 17:00,EUR,德国零售销售 ,0.20%,-1,0.70%
2000-12-01 17:00,EUR,德国贸易收支 ,4.80B,-1,6.80B
2000-12-01 17:00,EUR,德国失业人数变化 ,-9.00K,-1,-28.00K
2000-12-01 17:00,EUR,德国失业率 ,9.30%,-1,9.40%
2000-12-01 17:00,EUR,德国ZEW经济现状指数 ,40.5,-1,42.9
2000-12-01 17:00,EUR,德国ZEW经济景气指数 ,8.7,-1,20.4
2000-12-01 17:00,EUR,核心消费价格指数,1.00%,-1,1.10%
2000-12-01 17:00,EUR,居民消费价格指数,0.20%,-1,0.00%
